timestamp,city,stid,temp,trend_10m,trend_30m,trend_1h,acceleration
2026-01-29T16:50:00+00:00,il,KMDW,12.2,6.48,3.5138,3.5423,2.9662
2026-01-29T17:00:00+00:00,tx,KAUS,57.2,5.0758,4.541,8.3588,0.5348
2026-01-29T16:50:00+00:00,fl,KMIA,66.2,-0.0,3.1094,3.3766,-3.1094
2026-01-29T15:51:00+00:00,ny,KNYC,15.98,0.0,0.9,1.53,-0.9
2026-01-29T16:50:00+00:00,il,KMDW,12.2,6.48,3.5138,3.5423,2.9662
2026-01-29T17:00:00+00:00,tx,KAUS,57.2,5.0758,4.541,8.3588,0.5348
2026-01-29T16:50:00+00:00,fl,KMIA,66.2,-0.0,3.1094,3.3766,-3.1094
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:00:00+00:00,il,KMDW,12.2,-0.1049,3.056,3.5014,-3.1609
2026-01-29T17:05:00+00:00,tx,KAUS,59.0,4.1211,4.9992,7.115,-0.8782
2026-01-29T16:50:00+00:00,fl,KMIA,66.2,-0.0,3.1094,3.3766,-3.1094
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:00:00+00:00,il,KMDW,12.2,-0.1049,3.056,3.5014,-3.1609
2026-01-29T17:05:00+00:00,tx,KAUS,59.0,4.1211,4.9992,7.115,-0.8782
2026-01-29T16:50:00+00:00,fl,KMIA,66.2,-0.0,3.1094,3.3766,-3.1094
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:00:00+00:00,il,KMDW,12.2,-0.1049,3.056,3.5014,-3.1609
2026-01-29T17:05:00+00:00,tx,KAUS,59.0,4.1211,4.9992,7.115,-0.8782
2026-01-29T16:50:00+00:00,fl,KMIA,66.2,-0.0,3.1094,3.3766,-3.1094
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:05:00+00:00,tx,KAUS,59.0,4.1211,4.9992,7.115,-0.8782
2026-01-29T17:05:00+00:00,fl,KMIA,66.2,-0.2842,0.8454,2.7958,-1.1296
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:05:00+00:00,il,KMDW,12.2,0.0711,2.5009,3.4476,-2.4298
2026-01-29T17:05:00+00:00,tx,KAUS,59.0,4.1211,4.9992,7.115,-0.8782
2026-01-29T17:05:00+00:00,fl,KMIA,66.2,-0.2842,0.8454,2.7958,-1.1296
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:05:00+00:00,il,KMDW,12.2,0.0711,2.5009,3.4476,-2.4298
2026-01-29T17:05:00+00:00,tx,KAUS,59.0,4.1211,4.9992,7.115,-0.8782
2026-01-29T17:05:00+00:00,fl,KMIA,66.2,-0.2842,0.8454,2.7958,-1.1296
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:05:00+00:00,il,KMDW,12.2,0.0711,2.5009,3.4476,-2.4298
2026-01-29T17:10:00+00:00,tx,KAUS,59.0,5.5702,5.1931,6.3681,0.3771
2026-01-29T17:05:00+00:00,fl,KMIA,66.2,-0.2842,0.8454,2.7958,-1.1296
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:10:00+00:00,il,KMDW,14.0,4.3633,3.1764,3.5578,1.1869
2026-01-29T17:10:00+00:00,tx,KAUS,59.0,5.5702,5.1931,6.3681,0.3771
2026-01-29T17:05:00+00:00,fl,KMIA,66.2,-0.2842,0.8454,2.7958,-1.1296
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:10:00+00:00,il,KMDW,14.0,4.3633,3.1764,3.5578,1.1869
2026-01-29T17:10:00+00:00,tx,KAUS,59.0,5.5702,5.1931,6.3681,0.3771
2026-01-29T17:05:00+00:00,fl,KMIA,66.2,-0.2842,0.8454,2.7958,-1.1296
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:10:00+00:00,il,KMDW,14.0,4.3633,3.1764,3.5578,1.1869
