run_ts,env,trade_date,city,series_ticker,event_ticker,pred_tmax_f,spread_f,confidence_score,decision,reason
2026-01-23T23:15:34.227393+00:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,8.9625,0.7294,1.0000,skip,no_qualifying_market;best=KXHIGHCHI-26JAN24-T16;ask=1;spr=0;qty=177;ev=-1.00;px=orderbook
2026-01-23T23:15:34.229779+00:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,50.1425,10.7154,0.0000,skip,confidence<0.5
2026-01-23T23:15:36.354928+00:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,75.8325,1.0314,1.0000,trade,ticker=KXHIGHMIA-26JAN24-T77;ask=1;ev=52.34
2026-01-23T23:21:31.974698+00:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,19.8000,3.8348,0.0000,skip,confidence<0.5
2026-01-23T23:21:34.426483+00:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,9.1700,0.7732,1.0000,skip,no_qualifying_market;best=KXHIGHCHI-26JAN24-T16;ask=1;spr=0;qty=177;ev=-1.00;px=orderbook
2026-01-23T23:21:34.428348+00:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,47.5140,10.9313,0.0000,skip,confidence<0.5
2026-01-23T23:21:36.538035+00:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,76.2660,1.2660,1.0000,trade,ticker=KXHIGHMIA-26JAN24-T77;ask=1;ev=43.71
2026-01-23T23:41:57.849084+00:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,20.2200,4.6595,0.0000,skip,confidence<0.5
2026-01-23T23:42:00.388258+00:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,9.1700,0.7732,1.0000,skip,no_qualifying_market;best=KXHIGHCHI-26JAN24-T16;ask=1;spr=0;qty=177;ev=-1.00;px=orderbook
2026-01-23T23:42:00.389011+00:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,47.5140,10.9313,0.0000,skip,confidence<0.5
2026-01-23T23:42:02.463276+00:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,76.3860,1.2635,1.0000,trade,ticker=KXHIGHMIA-26JAN24-T77;ask=1;ev=41.35
2026-01-23T23:55:04.522561+00:00,demo,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,19.9867,4.2854,0.0000,skip,confidence<0.5
2026-01-23T23:55:06.953978+00:00,demo,2026-01-24,il,KXHIGHCHI,KXHIGHCHI-26JAN24,9.5183,1.0511,1.0000,skip,no_qualifying_market;best=KXHIGHCHI-26JAN24-T16;ask=1;spr=0;qty=177;ev=-0.99;px=orderbook
2026-01-23T23:55:06.955461+00:00,demo,2026-01-24,tx,KXHIGHAUS,KXHIGHAUS-26JAN24,48.2617,10.1179,0.0000,skip,confidence<0.5
2026-01-23T23:55:09.212148+00:00,demo,2026-01-24,fl,KXHIGHMIA,KXHIGHMIA-26JAN24,76.4250,1.1567,1.0000,trade,ticker=KXHIGHMIA-26JAN24-T77;ask=1;ev=40.59
2026-01-24T00:15:46.294282+00:00,prod,2026-01-24,ny,KXHIGHNY,KXHIGHNY-26JAN24,19.8186,3.9898,0.0000,skip,confidence<0.5
