"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMH","ACMH_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-02",,,,,,,,,"0.37",",,0,2400","    0",",,X","0.0",",,0,","0.0",",,0,",,,"56",",,0","41",",,0","    0",",,X",,,,,,,,,"  135","W,,X",,,,,,,,,,,"34.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-03",,,,,,,,,"0.89",",,0,2400","    0",",,X","0.5",",,0,","0.0",",,0,",,,"56",",,0","20",",,0","    0",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"28.0",",,X",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-04",,,,,,,,,"0.10",",,0,2400","  100",",,X","2.1",",,0,","3.0",",,0,",,,"20",",,0","10",",,0","  612",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-05",,,,,,,,,"0.00","T,,0,2400","   20",",,X","0.0","T,,0,","3.0",",,0,",,,"34",",,0","12",",,0","  126",",,X",,,,,,,,,"  135","W,,X",,,,,,,,,,,"17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-06",,,,,,,,,"0.02",",,0,2400","    0",",,X","0.4",",,0,","3.0",",,0,",,,"35",",,0","33",",,0","    0",",,X",,,,,,,,,"  135","W,,X",,,,,,,,,,,"13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-07",,,,,,,,,"0.00",",,0,2400","  100",",,X","0.0",",,0,","2.0",",,0,",,,"43",",,0","28",",,0","  624",",,X",,,,,,,,,"   45","W,,X",,,,,,,,,,,"8.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-08",,,,,,,,,"0.00",",,0,2400","   32",",,X","0.0",",,0,","1.0",",,0,",,,"40",",,0","33",",,0","  198",",,X",,,,,,,,,"  135","W,,X",,,,,,,,,,,"11.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-09",,,,,,,,,"0.00",",,0,2400","    8",",,X","0.0",",,0,","0.0","T,,0,",,,"41",",,0","35",",,0","   48",",,X",,,,,,,,,"   45","W,,X",,,,,,,,,,,"17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-10",,,,,,,,,"2.63",",,0,2400","    0",",,X","0.0",",,0,","0.0",",,0,",,,"48",",,0","35",",,0","    0",",,X",,,,,,,,,"   45","W,,X",,,,,,,,,,,"25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-11",,,,,,,,,"0.00",",,0,2400","    9",",,X","0.0",",,0,","0.0",",,0,",,,"44",",,0","34",",,0","   60",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-12",,,,,,,,,"0.00",",,0,2400","   91",",,X","0.0",",,0,","0.0",",,0,",,,"36",",,0","27",",,0","  576",",,X",,,,,,,,,"  270","W,,X",,,,,,,,,,,"25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-13",,,,,,,,,"0.00","T,,0,2400","   48",",,X","0.0","T,,0,","0.0","T,,0,",,,"32",",,0","18",",,0","  306",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-14",,,,,,,,,"0.13",",,0,2400","   31",",,X","1.1",",,0,","0.0",",,0,",,,"25",",,0","15",",,0","  198",",,X",,,,,,,,,"   45","W,,X",,,,,,,,,,,"16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-15",,,,,,,,,"0.38",",,0,2400","    0",",,X","2.3",",,0,","3.0",",,0,",,,"32",",,0","23",",,0","    0",",,X",,,,,,,,,"   45","W,,X",,,,,,,,,,,"25.9",",,X",,,,,,,"    1",",,0",,,"    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-16",,,,,,,,,"0.00",",,0,2400","   65",",,X","0.0",",,0,","3.0",",,0,",,,"35",",,0","29",",,0","  420",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-17",,,,,,,,,"0.00",",,0,2400","   32",",,X","0.0",",,0,","2.0",",,0,",,,"38",",,0","27",",,0","  210",",,X",,,,,,,,,"   45","W,,X",,,,,,,,,,,"17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-18",,,,,,,,,"0.00",",,0,2400","   61",",,X","0.0",",,0,","1.0",",,0,",,,"44",",,0","32",",,0","  396",",,X",,,,,,,,,"  135","W,,X",,,,,,,,,,,"13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-19",,,,,,,,,"0.00",",,0,2400","   35",",,X","0.0",",,0,","0.0","T,,0,",,,"46",",,0","23",",,0","  228",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-20",,,,,,,,,"0.00",",,0,2400","   82",",,X","0.0",",,0,","0.0",",,0,",,,"33",",,0","19",",,0","  534",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-21",,,,,,,,,"0.00",",,0,2400","   56",",,X","0.0",",,0,","0.0",",,0,",,,"34",",,0","20",",,0","  366",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-22",,,,,,,,,"0.00","T,,0,2400","  100",",,X","0.0",",,0,","0.0",",,0,",,,"57",",,0","30",",,0","  660",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-23",,,,,,,,,"0.00",",,0,2400","   93",",,X","0.0",",,0,","0.0",",,0,",,,"45",",,0","27",",,0","  612",",,X",,,,,,,,,"  315","W,,X",,,,,,,,,,,"29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1970-02-24",,,,,,,,,"0.00",",,0,2400","   99",",,X","0.0",",,0,","0.0",",,0,",,,"54",",,0","27",",,0","  660",",,X",,,,,,,,,"  225","W,,X",,,,,,,,,,,"19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
