run_ts,as_of,city,window_days,weights_json
2026-01-27T02:15:36.450073-05:00,2026-01-26,fl,14,"{""consensus"": 0.10011968956121808, ""google-weather"": 0.07895807729245018, ""lstm"": 0.04921243181427487, ""open-meteo"": 0.0019387856382881632, ""openweathermap"": 0.11964308363470193, ""pirateweather"": 0.1217973852827744, ""tomorrow"": 0.0411589883139201, ""visual-crossing"": 0.29716661969786545, ""weather.gov"": 0.03396281541969194, ""weatherapi"": 0.15604212334481482}"
2026-01-27T06:30:30.004110-05:00,2026-01-26,ny,14,"{""consensus"": 0.0354259864411124, ""google-weather"": 0.2996016410864923, ""lstm"": 0.004784464765381617, ""open-meteo"": 0.005514111870473481, ""openweathermap"": 0.22579906849369002, ""pirateweather"": 0.11553820002355913, ""tomorrow"": 0.10091634356727075, ""visual-crossing"": 0.11733410368294717, ""weather.gov"": 0.05273658423073998, ""weatherapi"": 0.04234949583833312}"
2026-01-27T06:30:30.004110-05:00,2026-01-26,il,14,"{""consensus"": 0.0056621502548445685, ""google-weather"": 0.0678884770799372, ""lstm"": 0.0024450967222624177, ""open-meteo"": 0.10370679642885415, ""openweathermap"": 0.23248634833716028, ""pirateweather"": 0.15439496596320093, ""tomorrow"": 0.08188551538383848, ""visual-crossing"": 0.31825056223873877, ""weather.gov"": 0.022579511289407314, ""weatherapi"": 0.010700576301755962}"
2026-01-27T06:30:30.004110-05:00,2026-01-26,tx,14,"{""consensus"": 0.4404016647518559, ""google-weather"": 0.1562283780379307, ""lstm"": 0.006840488858065905, ""open-meteo"": 0.0018648009452839427, ""openweathermap"": 0.012114654976969974, ""pirateweather"": 0.012415084509849624, ""tomorrow"": 0.018625603959103815, ""visual-crossing"": 0.2980096633456609, ""weather.gov"": 0.015624465562887019, ""weatherapi"": 0.03787519505239226}"
2026-01-27T06:30:30.004110-05:00,2026-01-26,fl,14,"{""consensus"": 0.10011968956121808, ""google-weather"": 0.07895807729245018, ""lstm"": 0.04921243181427487, ""open-meteo"": 0.0019387856382881632, ""openweathermap"": 0.11964308363470193, ""pirateweather"": 0.1217973852827744, ""tomorrow"": 0.0411589883139201, ""visual-crossing"": 0.29716661969786545, ""weather.gov"": 0.03396281541969194, ""weatherapi"": 0.15604212334481482}"
2026-01-28T02:15:38.767311-05:00,2026-01-27,ny,14,"{""consensus"": 0.0354259864411124, ""google-weather"": 0.2996016410864923, ""lstm"": 0.004784464765381617, ""open-meteo"": 0.005514111870473481, ""openweathermap"": 0.22579906849369002, ""pirateweather"": 0.11553820002355913, ""tomorrow"": 0.10091634356727075, ""visual-crossing"": 0.11733410368294717, ""weather.gov"": 0.05273658423073998, ""weatherapi"": 0.04234949583833312}"
2026-01-28T02:15:38.767311-05:00,2026-01-27,il,14,"{""consensus"": 0.0056621502548445685, ""google-weather"": 0.0678884770799372, ""lstm"": 0.0024450967222624177, ""open-meteo"": 0.10370679642885415, ""openweathermap"": 0.23248634833716028, ""pirateweather"": 0.15439496596320093, ""tomorrow"": 0.08188551538383848, ""visual-crossing"": 0.31825056223873877, ""weather.gov"": 0.022579511289407314, ""weatherapi"": 0.010700576301755962}"
2026-01-28T02:15:38.767311-05:00,2026-01-27,tx,14,"{""consensus"": 0.4404016647518559, ""google-weather"": 0.1562283780379307, ""lstm"": 0.006840488858065905, ""open-meteo"": 0.0018648009452839427, ""openweathermap"": 0.012114654976969974, ""pirateweather"": 0.012415084509849624, ""tomorrow"": 0.018625603959103815, ""visual-crossing"": 0.2980096633456609, ""weather.gov"": 0.015624465562887019, ""weatherapi"": 0.03787519505239226}"
2026-01-28T02:15:38.767311-05:00,2026-01-27,fl,14,"{""consensus"": 0.10011968956121808, ""google-weather"": 0.07895807729245018, ""lstm"": 0.04921243181427487, ""open-meteo"": 0.0019387856382881632, ""openweathermap"": 0.11964308363470193, ""pirateweather"": 0.1217973852827744, ""tomorrow"": 0.0411589883139201, ""visual-crossing"": 0.29716661969786545, ""weather.gov"": 0.03396281541969194, ""weatherapi"": 0.15604212334481482}"
2026-01-28T02:15:38.775149-05:00,2026-01-27,ny,14,"{""consensus"": 0.03855627069363655, ""google-weather"": 0.3350655133181582, ""lstm"": 0.005139631325049046, ""open-meteo"": 0.004383975176471585, ""openweathermap"": 0.16427424806626204, ""pirateweather"": 0.09340401700581191, ""tomorrow"": 0.12112785939132159, ""visual-crossing"": 0.12604420020999516, ""weather.gov"": 0.051343385326024754, ""weatherapi"": 0.06066089948726928}"
2026-01-28T02:15:38.775149-05:00,2026-01-27,il,14,"{""consensus"": 0.00828152165449478, ""google-weather"": 0.1189972063230401, ""lstm"": 0.0029500827486912064, ""open-meteo"": 0.030346228238279312, ""openweathermap"": 0.19397999150019204, ""pirateweather"": 0.0968625528423213, ""tomorrow"": 0.12350143651550205, ""visual-crossing"": 0.38397887693909294, ""weather.gov"": 0.023666673090265586, ""weatherapi"": 0.017435430148120865}"
2026-01-28T02:15:38.775149-05:00,2026-01-27,tx,14,"{""consensus"": 0.4404016647518559, ""google-weather"": 0.1562283780379307, ""lstm"": 0.006840488858065905, ""open-meteo"": 0.0018648009452839427, ""openweathermap"": 0.012114654976969974, ""pirateweather"": 0.012415084509849624, ""tomorrow"": 0.018625603959103815, ""visual-crossing"": 0.2980096633456609, ""weather.gov"": 0.015624465562887019, ""weatherapi"": 0.03787519505239226}"
2026-01-28T02:15:38.775149-05:00,2026-01-27,fl,14,"{""consensus"": 0.10011968956121808, ""google-weather"": 0.07895807729245018, ""lstm"": 0.04921243181427487, ""open-meteo"": 0.0019387856382881632, ""openweathermap"": 0.11964308363470193, ""pirateweather"": 0.1217973852827744, ""tomorrow"": 0.0411589883139201, ""visual-crossing"": 0.29716661969786545, ""weather.gov"": 0.03396281541969194, ""weatherapi"": 0.15604212334481482}"
2026-01-28T06:30:03.947685-05:00,2026-01-27,ny,14,"{""consensus"": 0.03931422867073344, ""google-weather"": 0.3437943442368369, ""lstm"": 0.005212419310696191, ""open-meteo"": 0.00444606148228641, ""openweathermap"": 0.14529293003806049, ""pirateweather"": 0.08543129210264346, ""tomorrow"": 0.12864686122938773, ""visual-crossing"": 0.12782925109313478, ""weather.gov"": 0.05012715402325267, ""weatherapi"": 0.06990545781296803}"
